Seller Platfrom,SKU,Manufacute Name,Manufacture Code,Product Title,Description,Packaging,QTY,Catagory,Sub Catagory,Product Page URL,Attachment URL,Images URL
Chair Side Solutions,SQ3890234,Chair Side Solutions,SQ3890234,Shining 3D Aoralscan 3,"The Aoralscan 3 intraoral scanner can be applied for clinical indications range spans general restorations, implants and orthodontics. Whether through same-day chairside restorations or clinic-dental lab integrated treatments, it always provides a state-of-the-art user experience · Fast Speed · High Accuracy · Powerful AI Process · Intuitive Communication",,,Intraoral Scanners,,https://www.chairsidesolutions.com/shop/p/shining-3d-aoralscan-3,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642777992804-BCO7U288OILE79ES17HM/8+%281%29.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642777992850-B7KNBNSVMSEZYAYD8W3T/8+%282%29.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642777992887-FEWW94RAI1IHOSX9XHU6/8+%283%29.png']"
Chair Side Solutions,SQ7475828,Chair Side Solutions,SQ7475828,Ray RayFace 200,Capture the most natural smile of the patient in 0.5s • The high-quality 3D face scan data is automatically aligned with the intraoral scan data • Provide accurate diagnosis and effective consultation with the patient's natural smile • Accurate treatment plan presenting a treatment plan fits the best to the patient's facial features • Excellent Communication Tool for effective consultation through comparison of realistic before and after images. • Open system and precise automatic alignment with intraoral scan data • Outstanding image quality acquiring high quality 3D face scan data from High-resolution cameras • Superior design The curved surface and soft colors of RAYFace provide comfort and a pleasant atmosphere.,,,External Scanners,,https://www.chairsidesolutions.com/shop/p/rayface200,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1663355456891-6KUU6ZBWFNY6YFG654D4/rayface200.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1665493320227-43DBTS2QM9QZB25A12KC/RAYFace_1_Blue.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1665493320227-CVB8MOUTW1MA6MU466ES/RAYFace_1.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1665493320323-UIX0GBC0YIIDAEDCSQ6A/RAYFace_2.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1665493320282-P1M31TZU2KS0WQHSZXV0/RAYFace_3.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1665493319827-0EA0P3K45O9FEXWE3I1A/RAYFace_4.jpg']"
Chair Side Solutions,SQ8088313,Chair Side Solutions,SQ8088313,PIC System 2.0,PIC dental is the world's best digital impression technique for multiple implants. The system always obtain an accurate impression regardless of the number of implants or their distances and angulations. Includes • PIC Camera & PIC-Software • 1 Set of PIC Transfer Kits (1 set = 10 kits) • Microsoft Surface Tablet PC • Tripod • On-Site Training,,,External Scanners,,https://www.chairsidesolutions.com/shop/p/pic-dental-system,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642712810177-RY1EDMEF124CU2FB6SWU/12.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642712810330-OSQAEOJSMENWWPPRD6HK/13.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642680681698-2KZ5H6IMZR9NJL498F86/77.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642680681685-CFMXB1U1YW1KX5BDXCWN/78.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642680681719-0IJYHBXHY956IJOC8FXS/79.png']"
Chair Side Solutions,SQ7093844,Chair Side Solutions,SQ7093844,MODJAW 4D Live Motion,"MODJAW’s technology offers a unique experience to you and your patients: efficiency, comfort and advanced interactions. Thanks to impressive 4D visuals, your patients will be able to visualize their mastication and understand the treatment that is needed. Communication at its finest! The power of MODJAW Tech in Motion lies in the advanced occlusal analysis : quick, simple and not invasive, with the utmost respect for the health of the patient. ALL IN ONE M-JEE® CART With a compact design, specially adapted for use in dental clinics, M-Jee cart can be easily installed alongside the chair. Its articulated arm helps position MODJAW’s high-end, real-time optical camera in front of the patient. A 21-inch touch screen PC allows the patient to watch LIVE the jaw motion while the dentist is working. After use, its articulated arm is lowered and the screen is rotated to optimize space.",,,External Scanners,,https://www.chairsidesolutions.com/shop/p/modjaw-4d-live-motion,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642681799515-O9IADOX585AB9EAIHOKQ/84.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642681799700-AXT89ZMA1Z1BH2DI8VQX/82.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642681799698-6960OVQFE077WJPIH6EU/83.png']"
Chair Side Solutions,SQ1645200,Chair Side Solutions,SQ1645200,HDX Will Eco-X CBCT,"3D Imaging • Max 16x9 cm FOV, perfect for capturing dentition, sinus, or TMJ PANO with Autofocus • 2D panoramic feature with Autofocus for minimized distortion Bitewings • Extraoral bitewing images for better patient comfort Cephalometric X-ray (optional) • Optional cephalometric arm attachment, excellent diagnostic images for orthodontic practice Model Scan Option • Model CBCT Scan for STL extraction",,,External Scanners,,https://www.chairsidesolutions.com/shop/p/hdx-will-eco-x-cbct,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1658514106254-NZBHOC2ECCUMP9LDT492/Website+Products+400x300+%289%29.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1658514106316-4C1V74ZNU7WCMHSX3FB3/Website+Products+400x300+%2810%29.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1658514105931-FCTPMGK4SY9MRINKF04H/Website+Products+400x300+%2812%29.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1658514106325-4V9P8HCCKPJU0FGUF90H/Website+Products+400x300+%2811%29.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1658514105867-8CY00DM1521IMGKZOEA3/Website+Products+400x300+%2813%29.png']"
Chair Side Solutions,SQ1026544,Chair Side Solutions,SQ1026544,Shining 3D Einscan PRO 2X + Color Pack,The truly portable and versatile handheld 3D scanner for high-precision results • A great option for scanning small to medium size objects • Scan faster and more accurate • Ideal for high-quality 3D modeling,,,External Scanners,,https://www.chairsidesolutions.com/shop/p/shining-3d-einscan-pro-2x-color-pack-facial-scanner,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642682032677-0HUTKNRIHCAKNWF2S9I9/85.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1642682032669-EHNQ7W8TV7GCBYA2Z75N/86.png']"
Chair Side Solutions,SQ0751507,Chair Side Solutions,SQ0751507,Shining 3D AutoScan-DS-EX Pro,"Outstanding Scan Speed . Upgraded scan speed · Dynamic & static articulator scan · New all-in-one scan · Modular design USER-FRIENDLY STRUCTURE · Light weight and small footprint: only 5kg · Open structure: easy to place different models EVEN FASTER SCAN SPEED · With increased scan speed, a single jaw scan can be finished in 12 seconds. The entire process of a separate-die order can be completed within 2 minutes and a non-separated-die order within 2.5 minutes. INTELLIGENT ADD-SCAN · When it comes to gaps, the AutoScan-DS-EX Pro can compute an optimized scan path and rescan to fill the unscanned holes automatically. Users don’t have to rescan manually. OPTIMIZED NON-SEPARATED MODEL SCAN · Intelligent path planning for non-separated model scan ensures optimum scan results and higher efficiency. STATIC & DYNAMIC ARTICULATOR SCAN · Apart from the existing static scanning mode, a new dynamic scanning mode is now available to capture the full relationship of both jaws and further improve precision of occlusion. This added feature is easy to operate and will result in greater efficiency.",,,External Scanners,,https://www.chairsidesolutions.com/shop/p/shining3dautoscan,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1653051214477-JX6Z1NJA8ZMVKU2WVNFC/dsex1.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1653051068899-QO278ROL3R3NWAGAQADM/dsex2.jpg']"
Chair Side Solutions,SQ3448504,Chair Side Solutions,SQ3448504,Shining 3D AutoScan-DS-EX,"Entry Level Dental 3D Scanner · Modular Structure · Compact Size · Open Data Format · Wide Range of Applications OPEN & MODULAR STRUCTURE · The AutoScan-DS-EX consists of detachable modules enabling future functional upgrades · lnnovative quick release jig for convenient model setup UNIMAGINABLE COMPACT SIZE · Unmatched in size, its footprint is ideal for office use · Highly portable with a total weight of 5 kg FAST SCAN SPEED · Not only is model placement easy and time-saving, the AutoScan DS-EX also offers high scanning efficiency that will result in higher productivity · Bite 13s, 1-8 Dies 30s, Single Jaw 30s, Impression 120s CLINIC MODE ADDED · With the clinic mode, desktop 3D scanner can be applied to dental clinics directly to support chair-side restoration solutions. EVEN FASTER SCAN SPEED · With increased scan speed, a single jaw scan can be finished in 12 seconds. The entire process of a separate-die order can be completed within 2 minutes and a non-separated-die order within 2.5 minutes. OPEN DATA FORMAT · Export STL data, high compatibility with current open CAD/CAM software and hardware in the market. VERSATILE APPLICATION · AutoScan-DS-EX Pro supports multiple dental scan applications, including wax-up, die, plaster model, impression, articulator and texture",,,External Scanners,,https://www.chairsidesolutions.com/shop/p/shining3dautoscandsex,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1671194840161-M27X7TP9TPLFFFHSLUEM/43.png', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1671194835723-R3VZIIZV9LLT2KKLL7E3/44.png']"
Chair Side Solutions,SQ4020733,Chair Side Solutions,SQ4020733,DOF Freedom HD/UHD - HD,"FREEDOM HD WITH STABLE SCAN STAGE (SSS) METHOD The Freedom HD is a premium scanner with DOF's very own SSS method patented technology. The SSS method allows for the camera to provide movements over the scanned part. As the cameras and light module rotate around the center of the scanning stage, your models remain stable during the scanning process. This in turn allows for the ability to scan without any fixture or adhesives. The Freedom HD is now more precise with 2.0MP cameras which provides even better data with sharper margin lines. FREEDOM UHD WITH ULTRA HIGH-DEFINITION RESOLUTION The All-New Freedom UHD scanner is a premium 3D scanner with powerful Ultra High-Definition (UHD) resolution and DOF’s patented Stable Scan Stage (SSS) technology. 5.0MP cameras of the Freedom UHD provides data with the sharpest margin lines.",,,External Scanners,,https://www.chairsidesolutions.com/shop/p/doffreedom,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880133-2LW7U3VOXQX53473AZA9/27.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880111-QV6NHLHIYWIY9F8E4MBD/26.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880113-X0B9P6RJK96EAJCCLJ4N/28.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880136-9FOSHLRNGZ2QGFOFGKDV/29.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880079-E2ZILM0GVSDQ21WH3S0O/30.jpg']"
Chair Side Solutions,SQ8488110,Chair Side Solutions,SQ8488110,DOF Freedom HD/UHD - UHD,"FREEDOM HD WITH STABLE SCAN STAGE (SSS) METHOD The Freedom HD is a premium scanner with DOF's very own SSS method patented technology. The SSS method allows for the camera to provide movements over the scanned part. As the cameras and light module rotate around the center of the scanning stage, your models remain stable during the scanning process. This in turn allows for the ability to scan without any fixture or adhesives. The Freedom HD is now more precise with 2.0MP cameras which provides even better data with sharper margin lines. FREEDOM UHD WITH ULTRA HIGH-DEFINITION RESOLUTION The All-New Freedom UHD scanner is a premium 3D scanner with powerful Ultra High-Definition (UHD) resolution and DOF’s patented Stable Scan Stage (SSS) technology. 5.0MP cameras of the Freedom UHD provides data with the sharpest margin lines.",,,External Scanners,,https://www.chairsidesolutions.com/shop/p/doffreedom,,"['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880133-2LW7U3VOXQX53473AZA9/27.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880111-QV6NHLHIYWIY9F8E4MBD/26.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880113-X0B9P6RJK96EAJCCLJ4N/28.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880136-9FOSHLRNGZ2QGFOFGKDV/29.jpg', 'https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1660009880079-E2ZILM0GVSDQ21WH3S0O/30.jpg']"
Chair Side Solutions,SQ9154541,Chair Side Solutions,SQ9154541,Exocad DentalCAD 3.1 Rijecka - Flex - Core Version,"The leading OEM-branded dental CAD software: Great for beginners and even more powerful in the hands of an expert Known for its speedy operation and ease of use to minimize training costs and maximize productivity. It is reliable and robust even for solving complex cases on a daily basis. The speed and flexibility of exocad’s DentalCAD* was achieved by harnessing the latest research results on organic modeling. Flex (Less Upfront + Annual Fee) vs Perpetual (More Upfront + No Annual Fees) License Modules Included in Bundle Advanced Bundle: Virtual Articulator, Provisional, TrueSmile, Tooth Library ZRS Wiedman Implant Bundle: Advanced Bundle + Implant, Bar, DICOM Viewer Ultimate Bundle: Implant Bundle + Model Creator, Smile Creator, Full Denture Module, PartialCAD, Bite Splint, Jaw Motion Import",,,CAD Software,,https://www.chairsidesolutions.com/shop/p/exocad-dentalcad-30-galway,,['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1672887863022-DCRZPKN1W1DRY79T9JIZ/Exocad+Rijecka+Product.png']
Chair Side Solutions,SQ3826745,Chair Side Solutions,SQ3826745,Exocad DentalCAD 3.1 Rijecka - Flex - Advanced Bundle,"The leading OEM-branded dental CAD software: Great for beginners and even more powerful in the hands of an expert Known for its speedy operation and ease of use to minimize training costs and maximize productivity. It is reliable and robust even for solving complex cases on a daily basis. The speed and flexibility of exocad’s DentalCAD* was achieved by harnessing the latest research results on organic modeling. Flex (Less Upfront + Annual Fee) vs Perpetual (More Upfront + No Annual Fees) License Modules Included in Bundle Advanced Bundle: Virtual Articulator, Provisional, TrueSmile, Tooth Library ZRS Wiedman Implant Bundle: Advanced Bundle + Implant, Bar, DICOM Viewer Ultimate Bundle: Implant Bundle + Model Creator, Smile Creator, Full Denture Module, PartialCAD, Bite Splint, Jaw Motion Import",,,CAD Software,,https://www.chairsidesolutions.com/shop/p/exocad-dentalcad-30-galway,,['https://images.squarespace-cdn.com/content/v1/61dfed97dd4164389e8be7cf/1672887863022-DCRZPKN1W1DRY79T9JIZ/Exocad+Rijecka+Product.png']
