Author,Quote,Tags
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"{'change': 'https://quotes.toscrape.com/tag/change/page/1/', 'deep-thoughts': 'https://quotes.toscrape.com/tag/deep-thoughts/page/1/', 'thinking': 'https://quotes.toscrape.com/tag/thinking/page/1/', 'world': 'https://quotes.toscrape.com/tag/world/page/1/'}"
Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",{'music': 'https://quotes.toscrape.com/tag/music/page/1/'}
Albert Einstein,“Any fool can know. The point is to understand.”,"{'knowledge': 'https://quotes.toscrape.com/tag/knowledge/page/1/', 'learning': 'https://quotes.toscrape.com/tag/learning/page/1/', 'understanding': 'https://quotes.toscrape.com/tag/understanding/page/1/', 'wisdom': 'https://quotes.toscrape.com/tag/wisdom/page/1/'}"
Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”,{'imagination': 'https://quotes.toscrape.com/tag/imagination/page/1/'}
Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”","{'children': 'https://quotes.toscrape.com/tag/children/page/1/', 'fairy-tales': 'https://quotes.toscrape.com/tag/fairy-tales/page/1/'}"
Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”","{'simplicity': 'https://quotes.toscrape.com/tag/simplicity/page/1/', 'understand': 'https://quotes.toscrape.com/tag/understand/page/1/'}"
Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,{'mistakes': 'https://quotes.toscrape.com/tag/mistakes/page/1/'}
Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","{'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'simile': 'https://quotes.toscrape.com/tag/simile/page/1/'}"
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,"{'adulthood': 'https://quotes.toscrape.com/tag/adulthood/page/1/', 'success': 'https://quotes.toscrape.com/tag/success/page/1/', 'value': 'https://quotes.toscrape.com/tag/value/page/1/'}"
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"{'inspirational': 'https://quotes.toscrape.com/tag/inspirational/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'live': 'https://quotes.toscrape.com/tag/live/page/1/', 'miracle': 'https://quotes.toscrape.com/tag/miracle/page/1/', 'miracles': 'https://quotes.toscrape.com/tag/miracles/page/1/'}"
Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”,{'misattributed-to-einstein': 'https://quotes.toscrape.com/tag/misattributed-to-einstein/page/1/'}
Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"{'friendship': 'https://quotes.toscrape.com/tag/friendship/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/'}"
Allen Saunders,“Life is what happens to us while we are making other plans.”,"{'fate': 'https://quotes.toscrape.com/tag/fate/page/1/', 'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'misattributed-john-lennon': 'https://quotes.toscrape.com/tag/misattributed-john-lennon/page/1/', 'planning': 'https://quotes.toscrape.com/tag/planning/page/1/', 'plans': 'https://quotes.toscrape.com/tag/plans/page/1/'}"
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,"{'life': 'https://quotes.toscrape.com/tag/life/page/1/', 'love': 'https://quotes.toscrape.com/tag/love/page/1/'}"
Ayn Rand,“The question isn't who is going to let me; it's who is going to stop me.”,{}
Bob Marley,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",{'love': 'https://quotes.toscrape.com/tag/love/page/1/'}
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",{'music': 'https://quotes.toscrape.com/tag/music/page/1/'}
Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",{'friendship': 'https://quotes.toscrape.com/tag/friendship/page/1/'}
C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”,"{'age': 'https://quotes.toscrape.com/tag/age/page/1/', 'fairytales': 'https://quotes.toscrape.com/tag/fairytales/page/1/', 'growing-up': 'https://quotes.toscrape.com/tag/growing-up/page/1/'}"
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","{'christianity': 'https://quotes.toscrape.com/tag/christianity/page/1/', 'faith': 'https://quotes.toscrape.com/tag/faith/page/1/', 'religion': 'https://quotes.toscrape.com/tag/religion/page/1/', 'sun': 'https://quotes.toscrape.com/tag/sun/page/1/'}"
